"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Autumn","Spring","Summer","Winter","mxpsd","dewp","prcp","gust","year","temp","wdsp","NUM_COLLISIONS"
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,34.2,0.02,39,2013,39.1,13.5,0.260387811634349
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39,35.2,0.8,55,2013,38.3,31.6,0.426592797783933
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,28.9,31.7,0.4,42.9,2013,39.2,24.9,0.520775623268698
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19,31.7,0,25.1,2013,39,11.9,0.0941828254847645
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.1,34.7,0,999.9,2013,39.9,6.5,0.390581717451524
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17.1,43.9,0,26,2013,46,13.1,0.45983379501385
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,41.1,0.54,26,2013,46.3,13.1,0.706371191135734
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18.1,25.3,0.49,26,2013,37,10.4,0.487534626038781
"71",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,24.1,13.7,0,36.9,2013,31.2,18.5,0.626038781163435
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,22,0,25.1,2013,37.1,10.2,0.38781163434903
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,21.5,0,20,2013,34.8,7.5,0.124653739612188
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,15.9,15.5,0,20,2013,32.1,9,0.670360110803324
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,22.9,35.5,0.41,33,2013,39.6,16.5,0.493074792243767
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25.1,25.7,0.35,32.1,2013,36.5,17.9,0.440443213296399
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21,29.9,0,27,2013,38.3,10.9,0.351800554016621
"78",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,27.6,0.23,26,2013,34.3,13.6,0.617728531855956
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22.9,21.7,0.02,39,2013,38.5,15.9,0.296398891966759
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,15,23.3,0,22,2013,39.1,10.4,0.193905817174515
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,29.8,0,28,2013,38.1,9.7,0.32409972299169
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24.1,28.7,0.05,34,2013,39.8,15.5,0.121883656509695
