"","weekday_sun","season","temp","dewp","NUM_COLLISIONS"
"246",1,3,68,59.3,0.335211267605634
"247",3,3,59.8,42.5,0.707042253521127
"248",4,3,65.5,57.5,0.698591549295775
"249",5,3,69.9,66.8,0.549295774647887
"250",6,3,70.2,67.6,0.884507042253521
"251",7,3,69.1,67,0.763380281690141
"252",2,3,64.5,57.6,0.388732394366197
"253",1,3,61.2,50.7,0.267605633802817
"254",3,3,62.4,54.8,0.532394366197183
"255",4,3,56.1,43.1,0.692957746478873
"256",5,3,56.1,42.7,0.535211267605634
"257",6,3,62.4,54.6,0.436619718309859
"258",7,3,62.6,58.5,0.704225352112676
"259",2,3,63.6,60.3,0.464788732394366
"260",1,3,66.3,63.4,0.574647887323944
"261",3,3,57.5,44.9,0.788732394366197
"262",4,3,54.5,42.7,0.659154929577465
"263",5,3,55.3,45.3,0.445070422535211
"264",6,3,56.8,46.4,0.380281690140845
"265",7,3,58.1,51.2,0.484507042253521
"266",2,3,59.2,50.1,0.467605633802817
"267",1,3,54.9,50.1,0.352112676056338
"268",3,3,59.5,54.3,0.630985915492958
"269",4,3,62.1,51.8,0.661971830985915
"270",5,3,64.8,58.1,0.749295774647887
"271",6,3,65.8,56.3,0.588732394366197
"272",7,3,62.8,57.5,0.780281690140845
"273",2,3,61.3,57.7,0.326760563380282
"274",1,3,59.1,54.8,0.0647887323943662
"275",3,3,65.7,62.3,0.667605633802817
"276",4,3,61.5,51.6,0.543661971830986
"277",5,3,56.4,44.3,0.416901408450704
"278",6,3,58.4,52.6,0.501408450704225
"279",7,3,60.6,56.6,0.676056338028169
"280",2,3,58.6,53.4,0.492957746478873
"281",1,3,55.1,45.6,0.340845070422535
"282",3,3,51.5,44,0.166197183098592
"283",4,3,53.9,47.3,0.659154929577465
"284",5,3,57.5,55.4,0.470422535211268
"285",6,3,59.4,57.4,0.543661971830986
"286",7,3,62.3,57,0.842253521126761
"287",2,3,57.3,45,0.253521126760563
"288",1,3,58.3,47.4,0.307042253521127
"289",3,3,54.4,41.1,0.661971830985915
"290",4,3,59.1,52.4,0.447887323943662
"291",5,3,52.5,44.6,0.498591549295775
"292",6,3,48.4,34.5,0.707042253521127
"293",7,3,48,30.2,0.749295774647887
"294",2,3,49,32.9,0.690140845070423
"295",1,3,54.3,38.7,0.369014084507042
"296",3,3,50.7,33,0.673239436619718
"297",4,3,47.5,34.1,0.616901408450704
"298",6,3,54.8,50.9,0.659154929577465
"299",7,3,62.3,59.7,0.926760563380282
"300",2,3,57.4,55.2,0.47887323943662
"301",1,3,49.4,43.7,0.0957746478873239
"302",3,3,42,26,0.780281690140845
"303",4,3,43.5,30.4,0.363380281690141
"304",5,3,46.5,41.4,0.715492957746479
"305",6,3,57.8,55.7,0.746478873239437
"306",7,3,47.1,32,0.847887323943662
"307",2,3,41.7,22.4,0.535211267605634
"308",1,3,52.5,39.7,0.261971830985915
"309",3,3,47.1,30.4,0.211267605633803
"310",4,3,45.7,36.8,0.749295774647887
"311",5,3,33.5,20.7,0.597183098591549
"312",6,3,42.8,27.4,0.673239436619718
"313",7,3,53,39.1,0.664788732394366
"314",2,3,51.2,43.6,0.650704225352113
"315",1,3,48.9,45.9,0.425352112676056
"316",3,3,55.9,53.7,0.647887323943662
"317",4,3,47,29.2,0.616901408450704
"318",5,3,38,21.5,0.636619718309859
"319",6,3,39,26.7,0.695774647887324
"320",7,3,46.2,41.9,0.904225352112676
"321",2,3,47.3,34.3,0.436619718309859
"322",1,3,30.5,9.2,0.31830985915493
"323",3,3,27,4.4,0.926760563380282
"324",6,3,40.1,28.4,0.135211267605634
"325",7,3,31.2,12.9,0.157746478873239
"326",2,3,31.3,15.4,0.276056338028169
"327",1,2,43.1,35,0.109859154929577
"328",3,2,44,42.1,0.473239436619718
"329",4,2,41.8,38.2,0.484507042253521
"330",5,2,39.8,31.7,0.391549295774648
"331",6,2,43.4,40.5,0.540845070422535
"332",2,2,39.7,34.5,0.523943661971831
"333",1,2,34,19.4,0.211267605633803
"334",3,2,40.8,36.3,0.726760563380282
"335",4,2,38.8,35.1,0.445070422535211
"336",5,2,31.8,20.6,0.630985915492958
"337",6,2,28.1,11.3,0.752112676056338
"338",7,2,28.1,12,0.884507042253521
"339",2,2,26.9,15.8,0.870422535211268
"340",1,2,40,37.1,0.194366197183099
"341",3,2,32,15.5,0.729577464788732
"342",4,2,28.6,15.9,0.907042253521127
"343",5,2,35.4,30.1,0.901408450704225
"344",6,2,39.1,27.5,0.636619718309859
"345",7,2,42.5,37.5,0.825352112676056
"346",2,2,47.6,45.6,0.6
"347",1,2,51.9,51.2,0.349295774647887
"348",3,2,48.7,47.5,0.91830985915493
"349",4,2,38.4,34.9,0.377464788732394
"350",6,2,33.3,26.8,0.132394366197183
"351",7,2,33.1,22.7,0.267605633802817
"352",2,2,39.3,29.8,0.264788732394366
"353",1,2,43.2,40.6,0.0366197183098592
"354",3,2,42.5,36.9,0.267605633802817
"355",4,2,28.5,16.8,0.236619718309859
"356",5,1,28.2,10.4,0.0601092896174863
"357",6,1,31.1,22.4,0.617486338797814
"358",7,1,24.2,20.2,0.12568306010929
"359",2,1,18.8,10.9,0.112021857923497
"360",3,1,46.3,45.1,0.385245901639344
"361",4,1,23.9,10.4,0.311475409836066
"362",5,1,18.2,5,0.653005464480874
"363",6,1,23.5,8.3,0.502732240437158
"364",7,1,28.8,22.6,0.792349726775956
"365",2,1,44.8,43,0.240437158469945
"366",1,1,45.1,38.4,0.0300546448087432
"367",3,1,38.6,31.2,0.521857923497268
"368",4,1,45.5,43.2,0.497267759562842
"369",5,1,41.1,38.4,0.562841530054645
"370",6,1,40.8,39.3,0.39344262295082
"371",7,1,38.6,35.8,0.579234972677596
"372",2,1,38.8,35.8,0.193989071038251
"373",1,1,36.1,29,0.00819672131147541
"374",5,1,25,20.3,0.330601092896175
"375",6,1,16.5,5.1,0.64207650273224
"376",7,1,14.8,-0.5,0.896174863387978
"377",2,1,32,23,0.26775956284153
"378",1,1,26.8,15.4,0.240437158469945
"379",3,1,38.8,32.3,0.366120218579235
"380",4,1,22.2,-1.3,0.346994535519126
"381",5,1,20.3,10.4,0.743169398907104
"382",6,1,22,5.8,0.765027322404372
"383",7,1,33.7,26.7,0.5
"384",2,1,35.6,25.1,0.355191256830601
"385",1,1,39.3,37.2,0.109289617486339
"386",4,1,32.5,26.2,0.644808743169399
"387",5,1,32.3,29.1,0.248633879781421
"388",6,1,30.4,24.5,0.524590163934426
"389",7,1,28.1,15.7,0.814207650273224
"390",2,1,28.2,14.2,0.128415300546448
"391",1,1,30.3,18.2,0.199453551912568
"392",3,1,28.9,18.8,0.822404371584699
"393",4,1,24,6.4,0.707650273224044
"394",5,1,23.7,10,0.718579234972678
"395",6,1,37,32,0.191256830601093
"396",2,1,35.2,28.8,0.379781420765027
"397",1,1,29.8,22.4,0.237704918032787
"398",4,1,28.2,18.5,0.385245901639344
"399",5,1,35,29.4,0.478142076502732
"400",6,1,39.6,32.2,0.489071038251366
"401",7,1,42.2,40,0.459016393442623
"402",2,1,41.4,36.5,0.573770491803279
"403",1,1,42,36.9,0.101092896174863
"404",3,1,37.5,25.8,0.524590163934426
"405",4,1,27,8.7,0.371584699453552
"406",5,1,25.8,12.6,0.366120218579235
"407",6,1,24.7,11.2,0.530054644808743
"408",7,1,20.3,0.3,0.759562841530055
"409",2,2,24.1,12.5,0.327868852459016
"410",3,2,27.3,20.3,0.172131147540984
"411",4,2,24.8,12.2,0.423497267759563
"412",5,2,29.5,18.3,0.311475409836066
"413",6,2,26.3,14,0.494535519125683
"414",7,2,29.4,20.9,0.426229508196721
"415",2,2,40.3,33.2,0.377049180327869
"416",1,2,35.2,21.7,0.0737704918032787
"417",3,2,33.5,24,0.371584699453552
"418",4,2,41.3,34.1,0.363387978142077
"419",5,2,43.4,37.1,0.377049180327869
"420",6,2,32.2,27.9,0.459016393442623
"421",7,2,25.4,9,0.568306010928962
"422",2,2,41.3,34.3,0.387978142076503
"423",1,2,35.3,16.8,0.0956284153005464
"424",3,2,28.5,12.1,0.387978142076503
"425",4,2,27.7,14.7,0.475409836065574
"426",5,2,35,23.6,0.404371584699454
"427",6,2,41.7,37.6,0.683060109289617
"428",7,2,39.3,28.2,0.579234972677596
"429",2,2,38.1,27.9,0.316939890710383
"430",1,2,38.9,25.3,0.136612021857924
"431",3,2,27.4,8,0.46448087431694
"432",4,2,26.5,10.5,0.265027322404372
"433",5,2,30.8,22.2,0.508196721311475
"434",6,2,28.4,8.6,0.439890710382514
"435",7,2,41.2,35.6,0.418032786885246
"436",2,2,44.9,42.2,0.524590163934426
"437",1,2,46.3,44.7,0.163934426229508
"438",3,2,37.8,35.3,0.497267759562842
"439",4,2,37.1,29.8,0.469945355191257
"440",5,2,39.3,28.6,0.387978142076503
"441",6,2,40.9,30.9,0.587431693989071
"442",7,2,40,30.2,0.669398907103825
"443",2,2,44.8,39.6,0.554644808743169
"444",1,2,41.1,25.3,0.292349726775956
"445",3,2,42,33.9,0.426229508196721
"446",4,2,47.7,45.8,0.62568306010929
"447",5,2,46.8,36.1,0.595628415300546
"448",6,2,41.6,28.9,0.73224043715847
"449",7,2,48,40.6,0.633879781420765
"450",2,2,50.1,40.8,0.549180327868853
"451",1,2,47,40.4,0.286885245901639
"452",3,2,52.2,47.8,0.37431693989071
"453",4,2,52.6,48,0.204918032786885
"454",5,2,42.9,32.6,0.527322404371585
"455",6,2,37.5,23.8,0.35792349726776
"456",7,2,40.4,32,0.325136612021858
"457",2,2,45.7,35.3,0.404371584699454
"458",1,2,44.2,31.2,0.0437158469945355
"459",3,2,43.1,36.9,0.39344262295082
"460",4,2,49.5,43.2,0.224043715846995
"461",5,2,49.5,45.4,0.434426229508197
"462",6,2,49.6,28.7,0.57103825136612
"463",7,2,49,32.3,0.655737704918033
"464",2,2,44.9,36.6,0.467213114754098
"465",1,2,42.4,36.2,0.19672131147541
"466",3,2,46.5,37.2,0.601092896174863
"467",4,2,44.2,36,0.486338797814208
"468",5,2,43.5,36.5,0.748633879781421
"469",6,2,50.3,48.3,0.745901639344262
"470",7,2,51.9,44.7,0.877049180327869
"471",2,2,50.9,41.1,0.581967213114754
"472",1,2,51.4,42.6,0.202185792349727
"473",3,2,53.7,40,0.658469945355191
"474",4,2,52.2,40.5,0.513661202185792
"475",5,2,51.6,38.3,0.617486338797814
"476",6,2,52,43.4,0.598360655737705
"477",7,2,51.5,44.5,0.565573770491803
"478",2,2,54.8,49.9,0.469945355191257
"479",1,2,58.3,49.5,0.565573770491803
"480",4,2,51.8,43.8,0.5
"481",5,2,51.2,44.3,0.713114754098361
"482",6,2,57.8,51.8,0.770491803278688
"483",7,2,58.3,52.8,0.882513661202186
"484",2,2,57.7,54.1,0.66120218579235
"485",1,2,56.5,46.1,0.355191256830601
"486",3,2,56.9,41.8,0.532786885245902
"487",4,2,56.4,45.7,0.745901639344262
"488",5,2,56.3,47.6,0.540983606557377
"489",6,2,50.3,46.2,0.590163934426229
"490",7,2,54.9,48.6,0.773224043715847
"491",2,2,54.6,46.9,0.297814207650273
"492",1,2,53.7,44.4,0.259562841530055
"493",3,2,56.7,51.1,0.153005464480874
"494",4,2,61.1,52.9,0.73224043715847
"495",5,2,51.1,48.4,0.439890710382514
"496",6,2,52,42.7,0.781420765027322
"497",7,2,49.7,42.2,0.745901639344262
"498",2,2,53.9,46.5,0.573770491803279
"499",1,4,58.4,43.5,0.620218579234973
"500",3,4,57.4,46.6,0.726775956284153
"501",4,4,58.2,47.9,0.781420765027322
"502",5,4,55.2,51.2,0.560109289617486
"503",6,4,60,57.2,0.524590163934426
"504",7,4,61.3,54.4,1
"505",2,4,65.6,54,0.672131147540984
"506",1,4,64.9,55.5,0.379781420765027
"507",3,4,61.2,57,0.412568306010929
"508",4,4,63.8,60.7,0.524590163934426
"509",5,4,61.2,54.4,0.543715846994536
"510",6,4,61,53,0.508196721311475
"511",7,4,61.7,58.6,0.904371584699454
"512",2,4,66.5,63.8,0.644808743169399
"513",1,4,66.1,54.5,0.26775956284153
"514",3,4,65.2,50,0.669398907103825
"515",4,4,62.5,55.2,0.789617486338798
"516",5,4,71.6,62.9,0.781420765027322
"517",6,4,67.3,61.5,0.814207650273224
"518",2,4,59.9,46.2,0.491803278688525
"519",1,4,63.2,49.2,0.273224043715847
"520",3,4,62.1,50.3,0.729508196721312
"521",4,4,60,51.9,0.69672131147541
"522",5,4,66.8,61.6,0.734972677595628
"523",6,4,66.7,64.4,0.800546448087432
"524",7,4,63.9,53.8,0.773224043715847
"525",2,4,62.2,51.9,0.639344262295082
"526",1,4,64.7,57.9,0.437158469945355
"527",3,4,67.3,61.6,0.636612021857924
"528",4,4,68.6,65.1,0.653005464480874
"529",5,4,69,66,0.76775956284153
"530",6,4,69.1,67.3,0.991803278688525
"531",2,4,67,55.8,0.349726775956284
"532",1,4,68.2,59.1,0.202185792349727
"533",3,4,68.6,62.8,0.647540983606557
"534",4,4,69.5,66.2,0.592896174863388
"535",5,4,69.4,66.7,0.524590163934426
"536",6,4,69.4,66.1,0.565573770491803
"537",7,4,69.1,62.4,0.724043715846995
"538",2,4,65.7,58.8,0.472677595628415
"539",1,4,68.7,63.6,0.169398907103825
"540",3,4,69.7,67,0.519125683060109
"541",4,4,71.4,69.1,0.573770491803279
"542",5,4,70.4,68.5,0.475409836065574
"543",6,4,70.4,63.7,0.573770491803279
"544",7,4,69.6,59.4,0.674863387978142
"545",2,4,65,54.1,0.281420765027322
"546",1,4,65.2,57.9,0.202185792349727
"547",3,4,65.9,63.3,0.491803278688525
"548",4,4,67.1,63.5,0.573770491803279
"549",5,4,69.2,65.9,0.584699453551913
"550",6,4,69.6,66.7,0.442622950819672
"551",7,4,67.4,60.8,0.754098360655738
"552",2,4,66.9,63.2,0.42896174863388
"553",1,4,68.6,65.2,0.270491803278689
"554",3,4,69.4,66.9,0.595628415300546
"555",4,4,68.9,62.8,0.407103825136612
"556",5,4,67.3,60.6,0.622950819672131
"557",6,4,67.7,62.9,0.680327868852459
"558",7,4,67.5,62.9,0.792349726775956
"559",2,4,64.3,60,0.445355191256831
"560",1,4,66.4,64.6,0.270491803278689
"561",3,4,68.2,65.5,0.579234972677596
"562",4,4,69.2,67.4,0.62568306010929
"563",5,4,70.1,65.7,0.505464480874317
"564",6,4,69.3,60.6,0.568306010928962
"565",7,4,66.3,57.6,0.612021857923497
"566",2,4,70.4,61.3,0.439890710382514
"567",1,4,69.1,61.4,0.368852459016393
"568",3,4,66.3,59.2,0.620218579234973
"569",4,4,67.2,62.2,0.311475409836066
"570",5,4,66.6,63.5,0.532786885245902
"571",6,4,67.8,60.8,0.677595628415301
"572",7,4,66.8,59.2,0.396174863387978
"573",2,4,66.3,58.8,0.308743169398907
"574",1,4,68.3,64.7,0.270491803278689
"575",3,4,67.9,57.7,0.595628415300546
"576",4,4,63.9,56.9,0.379781420765027
"577",5,4,63.8,55.9,0.475409836065574
"578",6,4,67.1,60.6,0.519125683060109
"579",7,4,63.9,60,0.521857923497268
"580",2,4,65.6,60.1,0.210382513661202
"581",1,4,63.9,56.8,0.163934426229508
"582",3,4,63.3,56.5,0.469945355191257
"583",4,4,63,56,0.631147540983607
"584",5,4,67.5,64.7,0.439890710382514
"585",6,4,71,62.4,0.658469945355191
"586",7,4,67.2,53.4,0.693989071038251
"587",2,4,60.1,51.2,0.363387978142077
"588",1,4,69.1,65.6,0.322404371584699
"589",3,3,71.5,69.2,0.040983606557377
"590",4,3,71.1,69.4,0.882513661202186
"591",5,3,74,65.1,0.554644808743169
"592",6,3,69.4,60.8,0.956284153005464
"593",7,3,70.3,67.2,0.737704918032787
"594",2,3,72,69.9,0.480874316939891
"595",1,3,70.1,62.9,0.273224043715847
"596",3,3,63.6,55.3,0.603825136612022
"597",4,3,64.6,56.5,0.587431693989071
"598",5,3,66.2,61.2,0.658469945355191
"599",6,3,64.4,60.3,0.66120218579235
"600",7,3,67.1,58.8,0.96448087431694
"601",2,3,59.9,53.2,0.494535519125683
"602",1,3,62.2,54.3,0.412568306010929
"603",3,3,57.5,47.6,0.636612021857924
"604",4,3,61.2,50.8,0.644808743169399
"605",5,3,61.9,54.4,0.76775956284153
"606",6,3,61.1,47.4,0.745901639344262
"607",7,3,57.2,42.7,0.740437158469945
"608",2,3,57,47.3,0.592896174863388
"609",1,3,66.1,63.2,0.377049180327869
"610",3,3,67.9,61.5,0.778688524590164
"611",4,3,59,42.3,0.587431693989071
"612",5,3,58.9,51.3,0.516393442622951
"613",6,3,59.7,55.3,0.311475409836066
"614",7,3,63.1,59.1,0.726775956284153
"615",2,3,63.5,55.3,0.609289617486339
"616",1,3,63.3,58.5,0.368852459016393
